candidate_id,seed,iptm,contact_pairs,hotspots_contacted,hotspot_count,clash_atom_pairs,clash_residue_pairs,generated_contact_retention,flags,acceptance
baseline_pdl1_60aa_16seeds_seed_43_bb_0_seq_0,43,0.5297530293464661,52,2,4,1,1,0.12,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_44_bb_0_seq_0,44,0.13705196976661682,55,2,4,1,1,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_45_bb_0_seq_0,45,0.15001827478408813,43,2,4,6,4,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_46_bb_0_seq_0,46,0.8270412683486938,67,3,4,0,0,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT,
baseline_pdl1_60aa_16seeds_seed_47_bb_0_seq_0,47,0.1725608855485916,31,1,4,0,0,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT,
baseline_pdl1_60aa_16seeds_seed_48_bb_0_seq_0,48,0.2402384728193283,46,1,4,4,2,0.3684210526315789,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_49_bb_0_seq_0,49,0.1712673455476761,55,1,4,3,2,0.03225806451612903,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_50_bb_0_seq_0,50,0.18952515721321106,50,2,4,2,2,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_51_bb_0_seq_0,51,0.20462848246097565,69,2,4,6,4,0.13513513513513514,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_52_bb_0_seq_0,52,0.6592608094215393,59,3,4,0,0,0.2631578947368421,PARTIAL_REQUESTED_HOTSPOT_CONTACT,
baseline_pdl1_60aa_16seeds_seed_53_bb_0_seq_0,53,0.3137212097644806,57,2,4,0,0,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT,
baseline_pdl1_60aa_16seeds_seed_54_bb_0_seq_0,54,0.20781856775283813,49,2,4,0,0,0.07692307692307693,PARTIAL_REQUESTED_HOTSPOT_CONTACT,
baseline_pdl1_60aa_16seeds_seed_55_bb_0_seq_0,55,0.12343649566173553,52,1,4,4,3,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_56_bb_0_seq_0,56,0.2114691138267517,63,2,4,1,1,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_57_bb_0_seq_0,57,0.20696227252483368,61,2,4,2,1,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
baseline_pdl1_60aa_16seeds_seed_58_bb_0_seq_0,58,0.1663280576467514,37,1,4,1,1,0.0,PARTIAL_REQUESTED_HOTSPOT_CONTACT;INTERCHAIN_HEAVY_ATOM_CLASH,
